35096,AL,7815,0,7815,0.00,100.00,3831,0,3831,0.00,100.00,78.874,5.477,99.082
35097,AL,1748,0,1748,0.00,100.00,700,0,700,0.00,100.00,7.890,0.020,221.559
35098,AL,1375,0,1375,0.00,100.00,645,0,645,0.00,100.00,30.235,0.697,45.477
35111,AL,16140,8062,8078,49.95,50.05,6406,3027,3379,47.25,52.75,64.185,1.175,251.459
35112,AL,801,0,801,0.00,100.00,346,0,346,0.00,100.00,2.461,0.018,325.481
35114,AL,7172,6868,304,95.76,4.24,2702,2578,124,95.41,4.59,12.426,0.119,577.197
35115,AL,14118,7167,6951,50.76,49.24,5880,2952,2928,50.20,49.80,124.801,1.067,113.124
35116,AL,4240,2076,2164,48.96,51.04,1771,846,925,47.77,52.23,22.148,0.011,191.441
35117,AL,5367,3968,1399,73.93,26.07,2155,1575,580,73.09,26.91,26.711,0.016,200.926
35118,AL,3138,1501,1637,47.83,52.17,1375,649,726,47.20,52.80,37.133,0.377,84.507
35119,AL,116,95,21,81.90,18.10,57,41,16,71.93,28.07,0.283,0.000,410.261
35120,AL,13842,0,13842,0.00,100.00,5416,0,5416,0.00,100.00,67.504,0.383,205.056
35121,AL,15570,5250,10320,33.72,66.28,6497,2187,4310,33.66,66.34,143.823,2.090,108.258
35124,AL,23020,22111,909,96.05,3.95,9227,8843,384,95.84,4.16,41.559,0.633,553.916
35125,AL,10456,4886,5570,46.73,53.27,4324,2104,2220,48.66,51.34,47.486,0.226,220.191
35126,AL,21725,15697,6028,72.25,27.75,8494,6057,2437,71.31,28.69,58.171,0.569,373.469
35127,AL,10099,9912,187,98.15,1.85,3939,3864,75,98.10,1.90,9.837,0.000,1026.614
35128,AL,10197,4025,6172,39.47,60.53,4711,1925,2786,40.86,59.14,64.014,5.018,159.294
35130,AL,3233,195,3038,6.03,93.97,1683,92,1591,5.47,94.53,67.443,3.153,47.937
35131,AL,4159,0,4159,0.00,100.00,1880,0,1880,0.00,100.00,89.970,2.984,46.227
35133,AL,3907,382,3525,9.78,90.22,1642,160,1482,9.74,90.26,48.314,0.836,80.867
35135,AL,1812,817,995,45.09,54.91,854,414,440,48.48,51.52,6.616,1.861,273.879
35136,AL,1796,0,1796,0.00,100.00,1216,0,1216,0.00,100.00,216.112,4.825,8.310
35139,AL,150,0,150,0.00,100.00,55,0,55,0.00,100.00,1.171,0.058,128.143
35143,AL,3281,0,3281,0.00,100.00,2222,0,2222,0.00,100.00,42.318,5.592,77.532
35146,AL,10948,2775,8173,25.35,74.65,3914,1160,2754,29.64,70.36,106.735,1.270,102.571
35147,AL,5468,2770,2698,50.66,49.34,2259,1055,1204,46.70,53.30,68.024,1.206,80.383
35148,AL,2702,1974,728,73.06,26.94,1282,963,319,75.12,24.88,6.185,0.008,436.844
35149,AL,630,0,630,0.00,100.00,311,0,311,0.00,100.00,5.510,0.006,114.342
35150,AL,18472,12171,6301,65.89,34.11,8542,5741,2801,67.21,32.79,62.972,1.107,293.336
35151,AL,7632,1260,6372,16.51,83.49,3654,558,3096,15.27,84.73,169.802,7.382,44.947
35160,AL,26822,13493,13329,50.31,49.69,12013,5473,6540,45.56,54.44,340.002,6.561,78.888
35171,AL,3281,108,3173,3.29,96.71,1337,41,1296,3.07,96.93,29.457,0.056,111.385
35172,AL,2986,0,2986,0.00,100.00,1286,0,1286,0.00,100.00,28.812,0.057,103.638
35173,AL,25176,19630,5546,77.97,22.03,9589,7407,2182,77.24,22.76,63.602,1.029,395.837
35175,AL,5041,8,5033,0.16,99.84,2222,3,2219,0.14,99.86,63.674,1.748,79.169
35176,AL,921,0,921,0.00,100.00,450,0,450,0.00,100.00,10.574,0.274,87.098
35178,AL,3378,0,3378,0.00,100.00,1601,0,1601,0.00,100.00,56.967,2.599,59.298
35179,AL,8958,388,8570,4.33,95.67,3874,166,3708,4.28,95.72,93.296,0.769,96.017
35180,AL,13794,0,13794,0.00,100.00,5581,0,5581,0.00,100.00,88.835,0.478,155.276
35183,AL,706,0,706,0.00,100.00,336,0,336,0.00,100.00,67.528,0.214,10.455
35184,AL,5841,46,5795,0.79,99.21,2510,14,2496,0.56,99.44,141.572,1.066,41.258
35186,AL,4931,0,4931,0.00,100.00,2130,0,2130,0.00,100.00,55.266,3.388,89.223
35187,AL,32,32,0,100.00,0.00,9,9,0,100.00,0.00,0.020,0.000,1561.321
35188,AL,2715,1428,1287,52.60,47.40,1051,538,513,51.19,48.81,22.958,0.142,118.261
35203,AL,3798,3798,0,100.00,0.00,1822,1822,0,100.00,0.00,2.020,0.000,1880.083
35204,AL,10337,10337,0,100.00,0.00,6002,6002,0,100.00,0.00,4.863,0.000,2125.765
35205,AL,19686,19686,0,100.00,0.00,12089,12089,0,100.00,0.00,3.626,0.000,5429.163
35206,AL,17177,17177,0,100.00,0.00,8141,8141,0,100.00,0.00,10.226,0.035,1679.778
35207,AL,9010,8817,193,97.86,2.14,4273,4192,81,98.10,1.90,10.398,0.032,866.548
35208,AL,14855,14855,0,100.00,0.00,6823,6823,0,100.00,0.00,3.534,0.000,4203.885
35209,AL,29544,29544,0,100.00,0.00,15167,15167,0,100.00,0.00,9.331,0.059,3166.363
35210,AL,13952,13322,630,95.48,4.52,6485,6178,307,95.27,4.73,25.298,0.388,551.514
35211,AL,26236,25301,935,96.44,3.56,14095,13427,668,95.26,4.74,17.661,0.030,1485.551
35212,AL,11539,11539,0,100.00,0.00,6550,6550,0,100.00,0.00,5.867,0.000,1966.748
35213,AL,13185,13185,0,100.00,0.00,6017,6017,0,100.00,0.00,6.351,0.006,2076.061
35214,AL,19592,18702,890,95.46,4.54,8912,8513,399,95.52,4.48,26.636,0.033,735.539
35215,AL,46951,46125,826,98.24,1.76,20194,19875,319,98.42,1.58,28.670,0.025,1637.645
35216,AL,36408,36408,0,100.00,0.00,17313,17313,0,100.00,0.00,14.026,0.193,2595.829
35217,AL,13729,13408,321,97.66,2.34,6263,6108,155,97.53,2.47,18.076,0.061,759.527
35218,AL,7353,7353,0,100.00,0.00,3696,3696,0,100.00,0.00,2.606,0.000,2821.067
35221,AL,4834,4834,0,100.00,0.00,2476,2476,0,100.00,0.00,3.651,0.000,1323.904
35222,AL,7884,7884,0,100.00,0.00,4331,4331,0,100.00,0.00,3.733,0.002,2111.802
35223,AL,11043,11043,0,100.00,0.00,4749,4749,0,100.00,0.00,8.223,0.032,1342.945
35224,AL,6094,5930,164,97.31,2.69,2854,2780,74,97.41,2.59,15.756,0.090,386.779
35226,AL,31471,31217,254,99.19,0.81,13209,13106,103,99.22,0.78,17.897,0.092,1758.487
35228,AL,10419,10419,0,100.00,0.00,4695,4695,0,100.00,0.00,4.323,0.000,2410.314
35229,AL,940,940,0,100.00,0.00,0,0,0,0.00,0.00,0.172,0.001,5453.315
35233,AL,1308,1308,0,100.00,0.00,591,591,0,100.00,0.00,1.680,0.000,778.377
35234,AL,6311,6311,0,100.00,0.00,2860,2860,0,100.00,0.00,3.562,0.000,1771.849
35235,AL,19484,19484,0,100.00,0.00,8613,8613,0,100.00,0.00,14.023,0.034,1389.457
35242,AL,49545,47880,1665,96.64,3.36,21879,21150,729,96.67,3.33,52.961,2.729,935.497
35243,AL,17328,17328,0,100.00,0.00,8582,8582,0,100.00,0.00,12.136,0.180,1427.774
35244,AL,32390,32385,5,99.98,0.02,13456,13454,2,99.99,0.01,21.646,0.613,1496.327
35254,AL,1403,1403,0,100.00,0.00,137,137,0,100.00,0.00,0.417,0.000,3365.892
35401,AL,39878,38972,906,97.73,2.27,16514,16093,421,97.45,2.55,47.615,1.907,837.512
35404,AL,21251,20516,735,96.54,3.46,9701,9390,311,96.79,3.21,16.805,0.415,1264.599
35405,AL,37661,35091,2570,93.18,6.82,17486,16490,996,94.30,5.70,47.556,0.779,791.922
35406,AL,13864,12348,1516,89.07,10.93,6321,5646,675,89.32,10.68,84.795,5.902,163.501
35441,AL,1060,0,1060,0.00,100.00,803,0,803,0.00,100.00,66.738,3.378,15.883
35442,AL,4972,0,4972,0.00,100.00,2385,0,2385,0.00,100.00,235.602,4.185,21.103
35443,AL,2009,0,2009,0.00,100.00,1249,0,1249,0.00,100.00,189.474,4.052,10.603
35444,AL,3699,0,3699,0.00,100.00,1495,0,1495,0.00,100.00,148.868,3.199,24.847
35446,AL,2234,0,2234,0.00,100.00,985,0,985,0.00,100.00,60.879,0.684,36.696
35447,AL,3460,0,3460,0.00,100.00,1716,0,1716,0.00,100.00,144.487,4.094,23.947
35452,AL,3880,674,3206,17.37,82.63,1553,262,1291,16.87,83.13,51.957,0.677,74.677
35453,AL,11127,4602,6525,41.36,58.64,4757,2004,2753,42.13,57.87,93.045,1.444,119.588
35456,AL,3759,806,2953,21.44,78.56,1561,311,1250,19.92,80.08,84.718,0.250,44.371
35457,AL,82,0,82,0.00,100.00,42,0,42,0.00,100.00,6.680,0.148,12.276
35458,AL,594,0,594,0.00,100.00,268,0,268,0.00,100.00,25.561,0.494,23.239
35459,AL,872,0,872,0.00,100.00,429,0,429,0.00,100.00,136.625,1.463,6.382
35460,AL,834,0,834,0.00,100.00,409,0,409,0.00,100.00,97.224,1.848,8.578
35461,AL,1952,0,1952,0.00,100.00,1069,0,1069,0.00,100.00,124.025,0.230,15.739
35462,AL,5061,0,5061,0.00,100.00,2570,0,2570,0.00,100.00,312.930,4.047,16.173
35463,AL,1749,0,1749,0.00,100.00,791,0,791,0.00,100.00,61.327,2.160,28.519
35464,AL,654,0,654,0.00,100.00,307,0,307,0.00,100.00,32.966,0.475,19.838
35466,AL,6075,0,6075,0.00,100.00,2669,0,2669,0.00,100.00,261.042,0.485,23.272
35469,AL,221,0,221,0.00,100.00,132,0,132,0.00,100.00,18.590,0.859,11.888
35470,AL,5468,0,5468,0.00,100.00,2514,0,2514,0.00,100.00,265.645,3.302,20.584
35473,AL,14909,12519,2390,83.97,16.03,6769,5648,1121,83.44,16.56,25.151,0.826,592.774
35474,AL,6180,2958,3222,47.86,52.14,2663,1168,1495,43.86,56.14,200.800,1.809,30.777
35475,AL,14507,5107,9400,35.20,64.80,6073,1919,4154,31.60,68.40,214.993,7.191,67.477
35476,AL,8106,8099,7,99.91,0.09,3613,3609,4,99.89,0.11,5.526,0.187,1467.003
35477,AL,335,0,335,0.00,100.00,199,0,199,0.00,100.00,34.037,0.750,9.842
35480,AL,1343,0,1343,0.00,100.00,612,0,612,0.00,100.00,68.250,0.093,19.678
35481,AL,3668,0,3668,0.00,100.00,1791,0,1791,0.00,100.00,118.521,0.450,30.948
35490,AL,3857,294,3563,7.62,92.38,1553,102,1451,6.57,93.43,67.172,0.294,57.420
35501,AL,10424,7253,3171,69.58,30.42,4832,3407,1425,70.51,29.49,49.928,0.468,208.782
35503,AL,9068,1405,7663,15.49,84.51,4079,620,3459,15.20,84.80,79.643,2.026,113.859
35504,AL,13596,5498,8098,40.44,59.56,6105,2291,3814,37.53,62.47,96.959,3.132,140.224
35540,AL,2415,0,2415,0.00,100.00,1114,0,1114,0.00,100.00,73.736,0.582,32.752
35541,AL,3597,0,3597,0.00,100.00,2540,0,2540,0.00,100.00,67.072,8.369,53.629
35542,AL,1021,0,1021,0.00,100.00,491,0,491,0.00,100.00,55.323,0.114,18.455
35543,AL,1137,0,1137,0.00,100.00,533,0,533,0.00,100.00,37.389,0.225,30.410
