	y1	r1	
1b.FeatGender	         0	         0	
2.FeatGender	-.02696044	  .0179636	
1b.FeatEd	         0	         0	
2.FeatEd	 .02581925	 .03401479	
3.FeatEd	 .02596771	 .03374355	
4.FeatEd	 .10265389	 .03462867	
5.FeatEd	  .1232957	 .03684691	
6.FeatEd	 .11033854	 .03861065	
7.FeatEd	 .16293858	 .03786904	
1b.FeatJob	         0	         0	
2.FeatJob	 .01206689	 .03794705	
3.FeatJob	  .0126045	 .03824918	
4.FeatJob	   .014814	 .03796475	
5.FeatJob	 .01388864	 .06903852	
6.FeatJob	 .02755066	 .03828783	
7.FeatJob	 .07104997	 .03863985	
8.FeatJob	 .08466712	  .0615519	
9.FeatJob	 .09477159	 .03656251	
10.FeatJob	 .19752645	 .06543473	
11.FeatJob	 .24368588	 .06389944	
1b.FeatLang	         0	         0	
2.FeatLang	-.04500507	 .02546435	
3.FeatLang	-.10820482	  .0247405	
4.FeatLang	-.15691446	 .02503047	
1.FeatCountry	 .03761017	 .04005206	
2.FeatCountry	 .02982224	 .03934091	
3.FeatCountry	-.00869578	 .04074821	
4.FeatCountry	 .01548363	 .03969208	
5.FeatCountry	 .04150526	 .04080935	
6b.FeatCountry	         0	         0	
7.FeatCountry	-.02968796	 .04483437	
8.FeatCountry	-.03954684	 .04466911	
9.FeatCountry	-.05153737	 .04440327	
10.FeatCountry	-.15662243	 .04639495	
1b.FeatReason	         0	         0	
2.FeatReason	-.04821124	 .02134735	
3.FeatReason	 .05509123	 .03674424	
1b.FeatExp	         0	         0	
2.FeatExp	 .11778855	 .02622898	
3.FeatExp	 .16621001	 .02632918	
4.FeatExp	 .18134956	 .02565152	
1.FeatPlans	 .11734241	 .02555171	
2.FeatPlans	-.00555196	 .02666916	
3b.FeatPlans	         0	         0	
4.FeatPlans	-.18420813	 .02590503	
1b.FeatTrips	         0	         0	
2.FeatTrips	  .0336159	  .0283324	
3.FeatTrips	 .02011716	 .02854918	
4.FeatTrips	 .06509163	 .02871674	
5.FeatTrips	-.12104862	 .02918219	
