	y1	r1	
1b.FeatGender	         0	         0	
2.FeatGender	-.04865604	 .01749278	
1b.FeatEd	         0	         0	
2.FeatEd	 .00404498	 .03356085	
3.FeatEd	 .04904686	  .0332618	
4.FeatEd	 .14043529	 .03293865	
5.FeatEd	 .15757487	 .03800301	
6.FeatEd	 .21075033	 .03823336	
7.FeatEd	  .1854494	 .03735761	
1b.FeatJob	         0	         0	
2.FeatJob	 -.0671934	 .03654338	
3.FeatJob	 -.0241937	 .03661735	
4.FeatJob	-.05444626	 .03577468	
5.FeatJob	-.05517201	 .06539455	
6.FeatJob	-.00257581	 .03620588	
7.FeatJob	 .04608664	 .03629659	
8.FeatJob	-.06602419	 .06486294	
9.FeatJob	 .03134906	  .0370198	
10.FeatJob	 .05092638	 .05977014	
11.FeatJob	 .05286296	 .06094694	
1b.FeatLang	         0	         0	
2.FeatLang	-.03661292	  .0259457	
3.FeatLang	-.14768533	 .02514489	
4.FeatLang	-.16997241	  .0248686	
1.FeatCountry	-.01731814	 .03810084	
2.FeatCountry	  .0161555	  .0396609	
3.FeatCountry	-.00976375	 .04023892	
4.FeatCountry	-.02702599	 .03965538	
5.FeatCountry	 .01620178	 .03951786	
6b.FeatCountry	         0	         0	
7.FeatCountry	-.05370353	 .04297301	
8.FeatCountry	-.07223293	  .0443612	
9.FeatCountry	-.08667176	 .04392008	
10.FeatCountry	-.14468312	 .04568088	
1b.FeatReason	         0	         0	
2.FeatReason	-.05052452	 .02109909	
3.FeatReason	 .04055692	 .03533575	
1b.FeatExp	         0	         0	
2.FeatExp	 .01729898	 .02493996	
3.FeatExp	 .07208408	 .02582201	
4.FeatExp	 .11821162	 .02547906	
1.FeatPlans	  .0906862	 .02556088	
2.FeatPlans	-.01442969	 .02570895	
3b.FeatPlans	         0	         0	
4.FeatPlans	 -.1649556	 .02547612	
1b.FeatTrips	         0	         0	
2.FeatTrips	 .05263877	 .02783232	
3.FeatTrips	 .07290542	 .02747524	
4.FeatTrips	 .05705109	 .02842185	
5.FeatTrips	-.11457747	 .02757852	
