	y1	r1	
1b.FeatGender	         0	         0	
2.FeatGender	 .00038528	 .01796557	
1b.FeatEd	         0	         0	
2.FeatEd	 .02965652	 .03412086	
3.FeatEd	  .0864944	 .03468193	
4.FeatEd	 .14453441	 .03423076	
5.FeatEd	 .16116312	 .03917125	
6.FeatEd	 .18379871	 .03834745	
7.FeatEd	 .23122573	 .03840826	
1b.FeatJob	         0	         0	
2.FeatJob	 .01624595	 .03887557	
3.FeatJob	 -.0372539	  .0383419	
4.FeatJob	-.01157496	 .03967442	
5.FeatJob	 .05529238	 .06552234	
6.FeatJob	 .02768251	 .03717595	
7.FeatJob	 .05363209	 .03862442	
8.FeatJob	 .11951732	 .06281902	
9.FeatJob	 .10704456	 .03819047	
10.FeatJob	  .0324001	 .06635024	
11.FeatJob	 .13520686	 .06396097	
1b.FeatLang	         0	         0	
2.FeatLang	-.11048966	  .0256707	
3.FeatLang	-.15148509	  .0248607	
4.FeatLang	-.18715204	 .02507507	
1.FeatCountry	 .07620659	 .03866277	
2.FeatCountry	 .01857563	 .03852967	
3.FeatCountry	   .051622	 .03824773	
4.FeatCountry	 .09223263	 .03874519	
5.FeatCountry	 .03648539	 .03833821	
6b.FeatCountry	         0	         0	
7.FeatCountry	 .08274474	 .04184913	
8.FeatCountry	 .00740496	 .04412385	
9.FeatCountry	-.05031064	 .04268675	
10.FeatCountry	-.08963449	 .04530092	
1b.FeatReason	         0	         0	
2.FeatReason	-.02965997	 .02091154	
3.FeatReason	 .05675989	 .03535259	
1b.FeatExp	         0	         0	
2.FeatExp	 .11915235	  .0251275	
3.FeatExp	 .12442111	 .02492553	
4.FeatExp	 .09409994	 .02463344	
1.FeatPlans	 .15610069	 .02554754	
2.FeatPlans	 .06902426	 .02531934	
3b.FeatPlans	         0	         0	
4.FeatPlans	-.14224455	 .02553083	
1b.FeatTrips	         0	         0	
2.FeatTrips	 .06488513	 .02846335	
3.FeatTrips	 .04161319	 .02818084	
4.FeatTrips	 .09117586	 .02861002	
5.FeatTrips	-.12546848	 .02738377	
