	y1	r1	
1b.FeatGender	         0	         0	
2.FeatGender	-.02781424	 .01277965	
1b.FeatEd	         0	         0	
2.FeatEd	  .0031944	 .02320647	
3.FeatEd	 .03113661	 .02332586	
4.FeatEd	   .096988	 .02443035	
5.FeatEd	 .10613669	 .02829118	
6.FeatEd	 .16698691	 .02799302	
7.FeatEd	 .12683501	 .02694018	
1b.FeatJob	         0	         0	
2.FeatJob	 .02909421	 .02636987	
3.FeatJob	 .03554627	 .02647122	
4.FeatJob	 .05184313	 .02555501	
5.FeatJob	  .1046716	 .04721419	
6.FeatJob	 .06913975	 .02714229	
7.FeatJob	 .09837521	 .02596227	
8.FeatJob	 .11850053	 .04538217	
9.FeatJob	 .10112693	 .02549264	
10.FeatJob	 .15992108	 .04388774	
11.FeatJob	 .23978965	 .04277927	
1b.FeatLang	         0	         0	
2.FeatLang	-.05600196	  .0180611	
3.FeatLang	-.12206956	 .01834382	
4.FeatLang	 -.1447326	 .01869897	
1.FeatCountry	 .04530068	 .02684436	
2.FeatCountry	 .03689134	 .02660024	
3.FeatCountry	 .06042008	 .02673408	
4.FeatCountry	 .06666889	 .02704827	
5.FeatCountry	 .02633244	 .02866113	
6b.FeatCountry	         0	         0	
7.FeatCountry	 .01445125	 .03127981	
8.FeatCountry	-.02792282	  .0329543	
9.FeatCountry	-.01648275	 .03155044	
10.FeatCountry	-.08780447	 .03339659	
1b.FeatReason	         0	         0	
2.FeatReason	-.05527394	 .01569933	
3.FeatReason	 .08391249	 .02626764	
1b.FeatExp	         0	         0	
2.FeatExp	 .06032525	 .01736589	
3.FeatExp	 .11355816	  .0183719	
4.FeatExp	 .10382076	 .01745411	
1.FeatPlans	 .11272984	 .01937779	
2.FeatPlans	 .02024791	 .01914409	
3b.FeatPlans	         0	         0	
4.FeatPlans	-.18206518	 .01809531	
1b.FeatTrips	         0	         0	
2.FeatTrips	  .0519221	  .0200758	
3.FeatTrips	 .05049595	 .02028343	
4.FeatTrips	 .06884819	 .02037179	
5.FeatTrips	-.11727778	 .01999982	
