	y1	r1	
1b.FeatGender	         0	         0	
2.FeatGender	-.04275922	  .0114281	
1b.FeatEd	         0	         0	
2.FeatEd	  .0193678	 .02114711	
3.FeatEd	 .08474595	 .02105882	
4.FeatEd	 .13666393	 .02168024	
5.FeatEd	 .14739505	 .02399211	
6.FeatEd	  .1756468	 .02413895	
7.FeatEd	 .19318714	 .02450922	
1b.FeatJob	         0	         0	
2.FeatJob	-.02110061	 .02380843	
3.FeatJob	 .01760128	 .02384158	
4.FeatJob	-.01016909	 .02404507	
5.FeatJob	 .03835957	 .04231149	
6.FeatJob	 .03469389	 .02371889	
7.FeatJob	 .05259608	  .0235027	
8.FeatJob	 .04593142	 .04208522	
9.FeatJob	  .0652923	 .02368817	
10.FeatJob	 .14022222	 .04023728	
11.FeatJob	 .12847022	  .0412317	
1b.FeatLang	         0	         0	
2.FeatLang	-.06031894	 .01636662	
3.FeatLang	-.12629254	 .01612314	
4.FeatLang	-.16693469	 .01624512	
1.FeatCountry	 .04337471	 .02484455	
2.FeatCountry	  .0429716	 .02466939	
3.FeatCountry	 .01706214	 .02438382	
4.FeatCountry	 .03590029	   .024914	
5.FeatCountry	 .01105139	 .02534673	
6b.FeatCountry	         0	         0	
7.FeatCountry	-.01273306	 .02745747	
8.FeatCountry	-.06322048	 .02941435	
9.FeatCountry	-.04618936	 .02872773	
10.FeatCountry	 -.1134667	 .02923748	
1b.FeatReason	         0	         0	
2.FeatReason	-.02768509	 .01364594	
3.FeatReason	 .07743929	 .02270646	
1b.FeatExp	         0	         0	
2.FeatExp	  .0744729	 .01605508	
3.FeatExp	 .12409899	 .01581925	
4.FeatExp	 .12328871	 .01569522	
1.FeatPlans	 .12068509	 .01652399	
2.FeatPlans	 .01228758	 .01700005	
3b.FeatPlans	         0	         0	
4.FeatPlans	 -.1698859	 .01647556	
1b.FeatTrips	         0	         0	
2.FeatTrips	 .04902977	 .01809274	
3.FeatTrips	 .04455856	 .01877411	
4.FeatTrips	 .07350703	 .01798639	
5.FeatTrips	-.10904353	 .01825469	
