	y1	r1	
1b.FeatGender	         0	         0	
2.FeatGender	-.02679817	 .01388834	
1b.FeatEd	         0	         0	
2.FeatEd	 .05226442	 .02620389	
3.FeatEd	 .07622931	 .02621141	
4.FeatEd	 .13815156	 .02699443	
5.FeatEd	 .20624998	 .03074176	
6.FeatEd	 .20951362	 .03079687	
7.FeatEd	 .21639913	 .02979786	
1b.FeatJob	         0	         0	
2.FeatJob	 .02217319	 .03176139	
3.FeatJob	 .02066184	 .02736387	
4.FeatJob	  .0235547	 .02904487	
5.FeatJob	 .00911275	 .05043228	
6.FeatJob	 .04909422	 .02692309	
7.FeatJob	 .07530195	 .03045879	
8.FeatJob	 .07542595	 .04783244	
9.FeatJob	 .10584356	 .02960885	
10.FeatJob	 .08601041	 .04819189	
11.FeatJob	 .09652494	 .04944159	
1b.FeatLang	         0	         0	
2.FeatLang	-.06746996	  .0194404	
3.FeatLang	-.11924444	 .02043623	
4.FeatLang	-.14761271	 .01897986	
1.FeatCountry	 .05451405	  .0257802	
2.FeatCountry	  .0239638	 .02767852	
3.FeatCountry	 .00878613	  .0280852	
4.FeatCountry	 .04178779	 .02911486	
5.FeatCountry	 .02964088	 .03139524	
6b.FeatCountry	         0	         0	
7.FeatCountry	-.02910857	 .03619556	
8.FeatCountry	-.08622518	 .03500788	
9.FeatCountry	-.04555877	 .03121773	
10.FeatCountry	-.12553385	 .03509608	
1b.FeatReason	         0	         0	
2.FeatReason	-.02507977	 .01612841	
3.FeatReason	 .08005979	  .0330104	
1b.FeatExp	         0	         0	
2.FeatExp	 .09057717	 .01883079	
3.FeatExp	 .11243046	 .01964247	
4.FeatExp	 .14049329	 .01871197	
1.FeatPlans	 .11805027	 .02067231	
2.FeatPlans	 .02631082	 .02097612	
3b.FeatPlans	         0	         0	
4.FeatPlans	-.15145022	 .01945219	
1b.FeatTrips	         0	         0	
2.FeatTrips	 .05199057	 .02317867	
3.FeatTrips	 .07617833	 .02368667	
4.FeatTrips	 .07701581	 .02300823	
5.FeatTrips	-.13017791	 .02300856	
