	y1	r1	
1b.FeatGender	         0	         0	
2.FeatGender	-.04204356	 .01220754	
1b.FeatEd	         0	         0	
2.FeatEd	 .03410939	 .02274804	
3.FeatEd	 .05883415	 .02261278	
4.FeatEd	 .10220979	 .02248651	
5.FeatEd	 .12478071	 .02582666	
6.FeatEd	 .16519743	 .02679503	
7.FeatEd	 .16079714	  .0249974	
1b.FeatJob	         0	         0	
2.FeatJob	-.01757293	 .02502928	
3.FeatJob	 .00476023	 .02523104	
4.FeatJob	-.00672497	 .02575476	
5.FeatJob	 .05995116	 .04420402	
6.FeatJob	 .02594099	 .02658744	
7.FeatJob	 .06771712	 .02504005	
8.FeatJob	 .07120172	 .04340161	
9.FeatJob	 .05700839	 .02487406	
10.FeatJob	 .13521421	 .04296513	
11.FeatJob	 .19488577	 .04439307	
1b.FeatLang	         0	         0	
2.FeatLang	-.06557765	 .01705522	
3.FeatLang	-.12008035	 .01652426	
4.FeatLang	-.16374936	 .01765725	
1.FeatCountry	 .02901214	 .02650751	
2.FeatCountry	 .00219483	 .02641319	
3.FeatCountry	-.00123853	  .0272585	
4.FeatCountry	  .0382711	 .02608589	
5.FeatCountry	 .02923808	  .0267567	
6b.FeatCountry	         0	         0	
7.FeatCountry	-.01690948	 .02936371	
8.FeatCountry	-.05942117	 .02988726	
9.FeatCountry	-.07225244	 .02990722	
10.FeatCountry	-.13888672	 .03117651	
1b.FeatReason	         0	         0	
2.FeatReason	-.02607879	  .0148255	
3.FeatReason	 .07103779	 .02436502	
1b.FeatExp	         0	         0	
2.FeatExp	 .05532936	 .01634021	
3.FeatExp	 .09480562	 .01731928	
4.FeatExp	 .08142251	 .01743416	
1.FeatPlans	 .14399444	 .01759975	
2.FeatPlans	 .02357371	 .01795927	
3b.FeatPlans	         0	         0	
4.FeatPlans	-.16169542	 .01782902	
1b.FeatTrips	         0	         0	
2.FeatTrips	 .05494906	 .01787217	
3.FeatTrips	 .03876527	  .0183507	
4.FeatTrips	 .06798704	 .01842453	
5.FeatTrips	-.10913906	 .01947327	
