	y1	r1	
1b.FeatGender	         0	         0	
2.FeatGender	-.01596449	 .01871456	
1b.FeatEd	         0	         0	
2.FeatEd	 .04552862	 .03445163	
3.FeatEd	 .06136699	 .03316598	
4.FeatEd	 .07108649	 .03457167	
5.FeatEd	 .14616084	   .037337	
6.FeatEd	 .19032771	 .03837295	
7.FeatEd	 .17187057	 .03773087	
1b.FeatJob	         0	         0	
2.FeatJob	-.00279322	 .03706312	
3.FeatJob	 .07014348	 .03967714	
4.FeatJob	 .03869088	 .03833711	
5.FeatJob	 .17973533	 .05976583	
6.FeatJob	 .03189691	  .0390655	
7.FeatJob	 .09282169	 .03673464	
8.FeatJob	 .07589035	 .06329404	
9.FeatJob	 .04120935	 .03899719	
10.FeatJob	 .16207164	 .06171344	
11.FeatJob	  .1737189	 .06113886	
1b.FeatLang	         0	         0	
2.FeatLang	-.06567957	 .02542082	
3.FeatLang	-.12102675	 .02513744	
4.FeatLang	-.15008226	 .02567178	
1.FeatCountry	 .08035701	 .03885524	
2.FeatCountry	 .10409964	 .03968623	
3.FeatCountry	  .0565453	 .03998757	
4.FeatCountry	 .09546804	 .04097937	
5.FeatCountry	 .07146634	 .03983156	
6b.FeatCountry	         0	         0	
7.FeatCountry	 -.0139168	 .04494458	
8.FeatCountry	-.04813414	  .0436035	
9.FeatCountry	 .02849853	 .04393351	
10.FeatCountry	 -.0313945	 .04350031	
1b.FeatReason	         0	         0	
2.FeatReason	-.02713161	 .02121014	
3.FeatReason	 .06150596	 .03508374	
1b.FeatExp	         0	         0	
2.FeatExp	 .07361825	 .02550253	
3.FeatExp	 .09894409	 .02558187	
4.FeatExp	 .10968617	 .02578493	
1.FeatPlans	 .13145975	 .02567972	
2.FeatPlans	  .0384698	 .02610575	
3b.FeatPlans	         0	         0	
4.FeatPlans	-.12977725	 .02554802	
1b.FeatTrips	         0	         0	
2.FeatTrips	 .03090923	 .02978946	
3.FeatTrips	 .05424005	 .02970841	
4.FeatTrips	 .05812314	 .02820147	
5.FeatTrips	-.11132082	 .02855038	
