	y1	r1	
1b.FeatGender	         0	         0	
2.FeatGender	-.01930098	 .01594897	
1b.FeatEd	         0	         0	
2.FeatEd	 .00334487	 .03014829	
3.FeatEd	  .0672123	 .03036253	
4.FeatEd	  .0605241	 .02944152	
5.FeatEd	 .12870953	  .0343991	
6.FeatEd	 .20693227	 .03370482	
7.FeatEd	 .13971083	 .03389086	
1b.FeatJob	         0	         0	
2.FeatJob	-.01520638	 .03169544	
3.FeatJob	-.04085855	 .03300779	
4.FeatJob	 .03707128	 .03276834	
5.FeatJob	 .05057688	  .0560141	
6.FeatJob	 .01142881	 .03386745	
7.FeatJob	 .03742639	 .03435568	
8.FeatJob	-.01606666	 .05799262	
9.FeatJob	 .04729605	 .03266987	
10.FeatJob	 .03760999	 .05383686	
11.FeatJob	 .07954359	 .05291774	
1b.FeatLang	         0	         0	
2.FeatLang	-.04397424	 .02189986	
3.FeatLang	-.13040836	 .02248715	
4.FeatLang	-.17959432	 .02276372	
1.FeatCountry	  .0404393	 .03479469	
2.FeatCountry	 .06495021	 .03400872	
3.FeatCountry	  .0359748	 .03537442	
4.FeatCountry	 .04900546	 .03609563	
5.FeatCountry	-.00687696	 .03513728	
6b.FeatCountry	         0	         0	
7.FeatCountry	-.00362427	 .04118101	
8.FeatCountry	-.00119787	 .04049271	
9.FeatCountry	-.01166844	 .03855916	
10.FeatCountry	 -.2097219	 .04196795	
1b.FeatReason	         0	         0	
2.FeatReason	-.03872181	 .01833524	
3.FeatReason	 .03060215	 .03293205	
1b.FeatExp	         0	         0	
2.FeatExp	 .08504754	 .02155223	
3.FeatExp	 .12908888	 .02243499	
4.FeatExp	  .1096054	 .02188248	
1b.FeatTrips	         0	         0	
2.FeatTrips	 .01136119	 .02468527	
3.FeatTrips	 .04580291	   .024816	
4.FeatTrips	 .07258084	 .02413581	
5.FeatTrips	-.13218983	 .02575564	
